654,631,430,372,583,331,285,323
631,430,372,583,331,285,323,441
430,372,583,331,285,323,441,407
372,583,331,285,323,441,407,331
583,331,285,323,441,407,331,386
331,285,323,441,407,331,386,333
285,323,441,407,331,386,333,699
323,441,407,331,386,333,699,817
441,407,331,386,333,699,817,976
407,331,386,333,699,817,976,855
331,386,333,699,817,976,855,636
386,333,699,817,976,855,636,937
333,699,817,976,855,636,937,784
699,817,976,855,636,937,784,335
817,976,855,636,937,784,335,421
976,855,636,937,784,335,421,453
855,636,937,784,335,421,453,472
636,937,784,335,421,453,472,693
937,784,335,421,453,472,693,97
784,335,421,453,472,693,97,379
335,421,453,472,693,97,379,350
421,453,472,693,97,379,350,408
453,472,693,97,379,350,408,422
472,693,97,379,350,408,422,568
693,97,379,350,408,422,568,316
97,379,350,408,422,568,316,351
379,350,408,422,568,316,351,374
350,408,422,568,316,351,374,363
408,422,568,316,351,374,363,322
422,568,316,351,374,363,322,513
568,316,351,374,363,322,513,491
316,351,374,363,322,513,491,357
351,374,363,322,513,491,357,376
374,363,322,513,491,357,376,265
363,322,513,491,357,376,265,413
322,513,491,357,376,265,413,364
513,491,357,376,265,413,364,660
491,357,376,265,413,364,660,118
357,376,265,413,364,660,118,691
376,265,413,364,660,118,691,400
265,413,364,660,118,691,400,313
413,364,660,118,691,400,313,455
364,660,118,691,400,313,455,535
660,118,691,400,313,455,535,411
118,691,400,313,455,535,411,360
691,400,313,455,535,411,360,421
400,313,455,535,411,360,421,332
313,455,535,411,360,421,332,358
455,535,411,360,421,332,358,365
535,411,360,421,332,358,365,493
411,360,421,332,358,365,493,479
360,421,332,358,365,493,479,282
421,332,358,365,493,479,282,412
332,358,365,493,479,282,412,291
358,365,493,479,282,412,291,400
365,493,479,282,412,291,400,461
493,479,282,412,291,400,461,683
479,282,412,291,400,461,683,503
282,412,291,400,461,683,503,504
412,291,400,461,683,503,504,545
291,400,461,683,503,504,545,325
400,461,683,503,504,545,325,340
461,683,503,504,545,325,340,416
683,503,504,545,325,340,416,737
503,504,545,325,340,416,737,35
504,545,325,340,416,737,35,363
545,325,340,416,737,35,363,656
325,340,416,737,35,363,656,42
340,416,737,35,363,656,42,448
416,737,35,363,656,42,448,530
737,35,363,656,42,448,530,583
35,363,656,42,448,530,583,385
363,656,42,448,530,583,385,346
656,42,448,530,583,385,346,433
42,448,530,583,385,346,433,444
448,530,583,385,346,433,444,490
530,583,385,346,433,444,490,648
583,385,346,433,444,490,648,820
385,346,433,444,490,648,820,539
346,433,444,490,648,820,539,582
433,444,490,648,820,539,582,603
444,490,648,820,539,582,603,536
490,648,820,539,582,603,536,708
648,820,539,582,603,536,708,902
820,539,582,603,536,708,902,528
539,582,603,536,708,902,528,385
582,603,536,708,902,528,385,427
603,536,708,902,528,385,427,404
536,708,902,528,385,427,404,354
708,902,528,385,427,404,354,546
902,528,385,427,404,354,546,560
528,385,427,404,354,546,560,379
385,427,404,354,546,560,379,375
427,404,354,546,560,379,375,326
404,354,546,560,379,375,326,745
354,546,560,379,375,326,745,782
546,560,379,375,326,745,782,838
560,379,375,326,745,782,838,792
379,375,326,745,782,838,792,726
375,326,745,782,838,792,726,601
326,745,782,838,792,726,601,753
745,782,838,792,726,601,753,303
782,838,792,726,601,753,303,340
838,792,726,601,753,303,340,446
792,726,601,753,303,340,446,425
726,601,753,303,340,446,425,337
601,753,303,340,446,425,337,382
753,303,340,446,425,337,382,404
303,340,446,425,337,382,404,573
340,446,425,337,382,404,573,717
446,425,337,382,404,573,717,819
425,337,382,404,573,717,819,687
337,382,404,573,717,819,687,667
382,404,573,717,819,687,667,746
404,573,717,819,687,667,746,447
573,717,819,687,667,746,447,407
717,819,687,667,746,447,407,464
819,687,667,746,447,407,464,506
687,667,746,447,407,464,506,506
667,746,447,407,464,506,506,379
746,447,407,464,506,506,379,522
447,407,464,506,506,379,522,468
407,464,506,506,379,522,468,649
464,506,506,379,522,468,649,668
506,506,379,522,468,649,668,712
506,379,522,468,649,668,712,607
379,522,468,649,668,712,607,723
522,468,649,668,712,607,723,704
468,649,668,712,607,723,704,549
649,668,712,607,723,704,549,377
668,712,607,723,704,549,377,357
712,607,723,704,549,377,357,556
607,723,704,549,377,357,556,457
723,704,549,377,357,556,457,374
704,549,377,357,556,457,374,466
549,377,357,556,457,374,466,308
377,357,556,457,374,466,308,432
357,556,457,374,466,308,432,537
556,457,374,466,308,432,537,655
457,374,466,308,432,537,655,600
374,466,308,432,537,655,600,496
466,308,432,537,655,600,496,500
308,432,537,655,600,496,500,413
432,537,655,600,496,500,413,391
537,655,600,496,500,413,391,406
655,600,496,500,413,391,406,472
600,496,500,413,391,406,472,442
496,500,413,391,406,472,442,394
500,413,391,406,472,442,394,372
