1796,1855,1196,1786,1607,1195,1358,1248
1855,1196,1786,1607,1195,1358,1248,1693
1196,1786,1607,1195,1358,1248,1693,1445
1786,1607,1195,1358,1248,1693,1445,1282
1607,1195,1358,1248,1693,1445,1282,1591
1195,1358,1248,1693,1445,1282,1591,1485
1358,1248,1693,1445,1282,1591,1485,1522
1248,1693,1445,1282,1591,1485,1522,1445
1693,1445,1282,1591,1485,1522,1445,1592
1445,1282,1591,1485,1522,1445,1592,1659
1282,1591,1485,1522,1445,1592,1659,1393
1591,1485,1522,1445,1592,1659,1393,1953
1485,1522,1445,1592,1659,1393,1953,1309
1522,1445,1592,1659,1393,1953,1309,1267
1445,1592,1659,1393,1953,1309,1267,1451
1592,1659,1393,1953,1309,1267,1451,1498
1659,1393,1953,1309,1267,1451,1498,1459
1393,1953,1309,1267,1451,1498,1459,2616
1953,1309,1267,1451,1498,1459,2616,283
1309,1267,1451,1498,1459,2616,283,1577
1267,1451,1498,1459,2616,283,1577,1683
1451,1498,1459,2616,283,1577,1683,1623
1498,1459,2616,283,1577,1683,1623,1224
1459,2616,283,1577,1683,1623,1224,1587
2616,283,1577,1683,1623,1224,1587,1495
283,1577,1683,1623,1224,1587,1495,1476
1577,1683,1623,1224,1587,1495,1476,1652
1683,1623,1224,1587,1495,1476,1652,1394
1623,1224,1587,1495,1476,1652,1394,1157
1224,1587,1495,1476,1652,1394,1157,1421
1587,1495,1476,1652,1394,1157,1421,1261
1495,1476,1652,1394,1157,1421,1261,1192
1476,1652,1394,1157,1421,1261,1192,1519
1652,1394,1157,1421,1261,1192,1519,1507
1394,1157,1421,1261,1192,1519,1507,1853
1157,1421,1261,1192,1519,1507,1853,1168
1421,1261,1192,1519,1507,1853,1168,1818
1261,1192,1519,1507,1853,1168,1818,257
1192,1519,1507,1853,1168,1818,257,2447
1519,1507,1853,1168,1818,257,2447,1538
1507,1853,1168,1818,257,2447,1538,1241
1853,1168,1818,257,2447,1538,1241,1389
1168,1818,257,2447,1538,1241,1389,1779
1818,257,2447,1538,1241,1389,1779,1142
257,2447,1538,1241,1389,1779,1142,1449
2447,1538,1241,1389,1779,1142,1449,1743
1538,1241,1389,1779,1142,1449,1743,1415
1241,1389,1779,1142,1449,1743,1415,1428
1389,1779,1142,1449,1743,1415,1428,1402
1779,1142,1449,1743,1415,1428,1402,1609
1142,1449,1743,1415,1428,1402,1609,1596
1449,1743,1415,1428,1402,1609,1596,1192
1743,1415,1428,1402,1609,1596,1192,1874
1415,1428,1402,1609,1596,1192,1874,1273
1428,1402,1609,1596,1192,1874,1273,1485
1402,1609,1596,1192,1874,1273,1485,1442
1609,1596,1192,1874,1273,1485,1442,1634
1596,1192,1874,1273,1485,1442,1634,1410
1192,1874,1273,1485,1442,1634,1410,1386
1874,1273,1485,1442,1634,1410,1386,1703
1273,1485,1442,1634,1410,1386,1703,1293
1485,1442,1634,1410,1386,1703,1293,1324
1442,1634,1410,1386,1703,1293,1324,1539
1634,1410,1386,1703,1293,1324,1539,2395
1410,1386,1703,1293,1324,1539,2395,21
1386,1703,1293,1324,1539,2395,21,1685
1703,1293,1324,1539,2395,21,1685,2252
1293,1324,1539,2395,21,1685,2252,21
1324,1539,2395,21,1685,2252,21,1831
1539,2395,21,1685,2252,21,1831,2041
2395,21,1685,2252,21,1831,2041,1836
21,1685,2252,21,1831,2041,1836,1231
1685,2252,21,1831,2041,1836,1231,1380
2252,21,1831,2041,1836,1231,1380,1652
21,1831,2041,1836,1231,1380,1652,1316
1831,2041,1836,1231,1380,1652,1316,1372
2041,1836,1231,1380,1652,1316,1372,1596
1836,1231,1380,1652,1316,1372,1596,1538
1231,1380,1652,1316,1372,1596,1538,1473
1380,1652,1316,1372,1596,1538,1473,1472
1652,1316,1372,1596,1538,1473,1472,1496
1316,1372,1596,1538,1473,1472,1496,1337
1372,1596,1538,1473,1472,1496,1337,2296
1596,1538,1473,1472,1496,1337,2296,3
1538,1473,1472,1496,1337,2296,3,2223
1473,1472,1496,1337,2296,3,2223,1886
1472,1496,1337,2296,3,2223,1886,1595
1496,1337,2296,3,2223,1886,1595,1393
1337,2296,3,2223,1886,1595,1393,1531
2296,3,2223,1886,1595,1393,1531,1289
3,2223,1886,1595,1393,1531,1289,1770
2223,1886,1595,1393,1531,1289,1770,1589
1886,1595,1393,1531,1289,1770,1589,1508
1595,1393,1531,1289,1770,1589,1508,1628
1393,1531,1289,1770,1589,1508,1628,1351
1531,1289,1770,1589,1508,1628,1351,1600
1289,1770,1589,1508,1628,1351,1600,1525
1770,1589,1508,1628,1351,1600,1525,1768
1589,1508,1628,1351,1600,1525,1768,1565
1508,1628,1351,1600,1525,1768,1565,1515
1628,1351,1600,1525,1768,1565,1515,1384
1351,1600,1525,1768,1565,1515,1384,1509
1600,1525,1768,1565,1515,1384,1509,1243
1525,1768,1565,1515,1384,1509,1243,1453
1768,1565,1515,1384,1509,1243,1453,1499
1565,1515,1384,1509,1243,1453,1499,1537
1515,1384,1509,1243,1453,1499,1537,1410
1384,1509,1243,1453,1499,1537,1410,1640
1509,1243,1453,1499,1537,1410,1640,1374
1243,1453,1499,1537,1410,1640,1374,1450
1453,1499,1537,1410,1640,1374,1450,1423
1499,1537,1410,1640,1374,1450,1423,1657
1537,1410,1640,1374,1450,1423,1657,1569
1410,1640,1374,1450,1423,1657,1569,1550
1640,1374,1450,1423,1657,1569,1550,1561
1374,1450,1423,1657,1569,1550,1561,1418
1450,1423,1657,1569,1550,1561,1418,1582
1423,1657,1569,1550,1561,1418,1582,1464
1657,1569,1550,1561,1418,1582,1464,1616
1569,1550,1561,1418,1582,1464,1616,1345
1550,1561,1418,1582,1464,1616,1345,1627
1561,1418,1582,1464,1616,1345,1627,1686
1418,1582,1464,1616,1345,1627,1686,1309
1582,1464,1616,1345,1627,1686,1309,1618
1464,1616,1345,1627,1686,1309,1618,1529
1616,1345,1627,1686,1309,1618,1529,1376
1345,1627,1686,1309,1618,1529,1376,1263
1627,1686,1309,1618,1529,1376,1263,1416
1686,1309,1618,1529,1376,1263,1416,1892
1309,1618,1529,1376,1263,1416,1892,1543
1618,1529,1376,1263,1416,1892,1543,1412
1529,1376,1263,1416,1892,1543,1412,1329
1376,1263,1416,1892,1543,1412,1329,1597
1263,1416,1892,1543,1412,1329,1597,1387
1416,1892,1543,1412,1329,1597,1387,1457
1892,1543,1412,1329,1597,1387,1457,1515
1543,1412,1329,1597,1387,1457,1515,1424
1412,1329,1597,1387,1457,1515,1424,1553
1329,1597,1387,1457,1515,1424,1553,1441
1597,1387,1457,1515,1424,1553,1441,1324
1387,1457,1515,1424,1553,1441,1324,1386
1457,1515,1424,1553,1441,1324,1386,1499
1515,1424,1553,1441,1324,1386,1499,1499
1424,1553,1441,1324,1386,1499,1499,1523
1553,1441,1324,1386,1499,1499,1523,1322
1441,1324,1386,1499,1499,1523,1322,1376
1324,1386,1499,1499,1523,1322,1376,1452
1386,1499,1499,1523,1322,1376,1452,1656
1499,1499,1523,1322,1376,1452,1656,1684
1499,1523,1322,1376,1452,1656,1684,1653
1523,1322,1376,1452,1656,1684,1653,1460
1322,1376,1452,1656,1684,1653,1460,1477
1376,1452,1656,1684,1653,1460,1477,1266
1452,1656,1684,1653,1460,1477,1266,1443
1656,1684,1653,1460,1477,1266,1443,1457
1684,1653,1460,1477,1266,1443,1457,1487
1653,1460,1477,1266,1443,1457,1487,1496
1460,1477,1266,1443,1457,1487,1496,1413
1477,1266,1443,1457,1487,1496,1413,1450
1266,1443,1457,1487,1496,1413,1450,1362
1443,1457,1487,1496,1413,1450,1362,1403
1457,1487,1496,1413,1450,1362,1403,1293
1487,1496,1413,1450,1362,1403,1293,1508
1496,1413,1450,1362,1403,1293,1508,1553
